Apply_Order,Priority_Group,Company_or_Source,Type_Size,Role_Fit,Link,Notes,Date_Applied,Status,Referral_Contact,Follow_Up_Date
20,1 - Startups/boutiques (apply first),QuantInsti,Quant edu/algo (Blueshift),Quant,https://www.linkedin.com/jobs/search/?keywords=QuantInsti&location=India&f_TPR=r604800,Algo trading roles,,,,
21,1 - Startups/boutiques (apply first),Windmill Capital smallcase,Research boutique,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Windmill%20Capital%20smallcase&location=India&f_TPR=r604800,Strong fit - builds smallcases,,,,
22,1 - Startups/boutiques (apply first),Capitalmind,PMS / research,Research/Quant,https://www.linkedin.com/jobs/search/?keywords=Capitalmind&location=India&f_TPR=r604800,,,,,
23,1 - Startups/boutiques (apply first),Marcellus Investment Managers,PMS boutique,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Marcellus%20Investment%20Managers&location=India&f_TPR=r604800,High-quality research shop,,,,
24,1 - Startups/boutiques (apply first),Multi-Act,Research / PMS,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Multi-Act&location=India&f_TPR=r604800,,,,,
25,1 - Startups/boutiques (apply first),Smallcase,Wealthtech startup,Research/Quant,https://www.linkedin.com/jobs/search/?keywords=Smallcase&location=India&f_TPR=r604800,,,,,
26,1 - Startups/boutiques (apply first),Tickertape,Research/data (smallcase),Equity Research,https://www.linkedin.com/jobs/search/?keywords=Tickertape&location=India&f_TPR=r604800,,,,,
27,1 - Startups/boutiques (apply first),Streak,Algo trading (smallcase),Quant,https://www.linkedin.com/jobs/search/?keywords=Streak&location=India&f_TPR=r604800,,,,,
28,1 - Startups/boutiques (apply first),Dhan,Broking/fintech startup,Quant/Research,https://www.linkedin.com/jobs/search/?keywords=Dhan&location=India&f_TPR=r604800,,,,,
29,1 - Startups/boutiques (apply first),INDmoney,Wealthtech startup,Research/FP&A,https://www.linkedin.com/jobs/search/?keywords=INDmoney&location=India&f_TPR=r604800,,,,,
30,1 - Startups/boutiques (apply first),Kuvera,Wealthtech startup,Research,https://www.linkedin.com/jobs/search/?keywords=Kuvera&location=India&f_TPR=r604800,,,,,
31,1 - Startups/boutiques (apply first),Scripbox,Wealthtech startup,Research/FP&A,https://www.linkedin.com/jobs/search/?keywords=Scripbox&location=India&f_TPR=r604800,,,,,
32,1 - Startups/boutiques (apply first),Wint Wealth,Fixed-income fintech,Credit/Fixed Income,https://www.linkedin.com/jobs/search/?keywords=Wint%20Wealth&location=India&f_TPR=r604800,Good for credit interest,,,,
33,1 - Startups/boutiques (apply first),Yubi CredAvenue,Debt fintech,Credit/Risk,https://www.linkedin.com/jobs/search/?keywords=Yubi%20CredAvenue&location=India&f_TPR=r604800,Strong fit for credit,,,,
34,1 - Startups/boutiques (apply first),Vivriti Capital,Debt / fintech NBFC,Credit/Risk,https://www.linkedin.com/jobs/search/?keywords=Vivriti%20Capital&location=India&f_TPR=r604800,,,,,
35,1 - Startups/boutiques (apply first),Northern Arc Capital,NBFC / debt,Credit,https://www.linkedin.com/jobs/search/?keywords=Northern%20Arc%20Capital&location=India&f_TPR=r604800,,,,,
36,1 - Startups/boutiques (apply first),U GRO Capital,NBFC,Credit,https://www.linkedin.com/jobs/search/?keywords=U%20GRO%20Capital&location=India&f_TPR=r604800,,,,,
37,1 - Startups/boutiques (apply first),Perfios,Fintech / credit analytics,Credit/Risk,https://www.linkedin.com/jobs/search/?keywords=Perfios&location=India&f_TPR=r604800,,,,,
38,1 - Startups/boutiques (apply first),Signzy,Fintech / KYC-risk,Risk/Ops,https://www.linkedin.com/jobs/search/?keywords=Signzy&location=India&f_TPR=r604800,,,,,
39,1 - Startups/boutiques (apply first),Cians Analytics,Research KPO (boutique),Research,https://www.linkedin.com/jobs/search/?keywords=Cians%20Analytics&location=India&f_TPR=r604800,,,,,
40,1 - Startups/boutiques (apply first),Netscribes,Research KPO,Research,https://www.linkedin.com/jobs/search/?keywords=Netscribes&location=India&f_TPR=r604800,,,,,
41,1 - Startups/boutiques (apply first),Draup,Analytics startup,FP&A/Research,https://www.linkedin.com/jobs/search/?keywords=Draup&location=India&f_TPR=r604800,,,,,
42,2 - Small/Mid firms,Aranca,Research/valuation KPO,Equity Research/Credit,https://www.linkedin.com/jobs/search/?keywords=Aranca&location=India&f_TPR=r604800,Hires freshers/analysts in volume,,,,
43,2 - Small/Mid firms,SG Analytics,Research KPO,Research/Credit,https://www.linkedin.com/jobs/search/?keywords=SG%20Analytics&location=India&f_TPR=r604800,,,,,
44,2 - Small/Mid firms,Acuity Knowledge Partners,Research KPO (large-ish),Research/Credit,https://www.linkedin.com/jobs/search/?keywords=Acuity%20Knowledge%20Partners&location=India&f_TPR=r604800,Strong fit - buy/sell-side support,,,,
45,2 - Small/Mid firms,Evalueserve,Research/analytics KPO,Research/Credit/FP&A,https://www.linkedin.com/jobs/search/?keywords=Evalueserve&location=India&f_TPR=r604800,,,,,
46,2 - Small/Mid firms,Motilal Oswal,Broking / research,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Motilal%20Oswal&location=India&f_TPR=r604800,Strong sell-side research,,,,
47,2 - Small/Mid firms,Angel One,Broking / fintech,Research/Risk/Quant,https://www.linkedin.com/jobs/search/?keywords=Angel%20One&location=India&f_TPR=r604800,,,,,
48,2 - Small/Mid firms,IIFL,Broking / financial services,Research/Credit,https://www.linkedin.com/jobs/search/?keywords=IIFL&location=India&f_TPR=r604800,,,,,
49,2 - Small/Mid firms,Kotak Securities,Broking,Research/Risk,https://www.linkedin.com/jobs/search/?keywords=Kotak%20Securities&location=India&f_TPR=r604800,,,,,
50,2 - Small/Mid firms,ICICI Securities,Broking / research,Equity Research,https://www.linkedin.com/jobs/search/?keywords=ICICI%20Securities&location=India&f_TPR=r604800,,,,,
51,2 - Small/Mid firms,Nuvama,Wealth / IB (ex-Edelweiss),Research/IB,https://www.linkedin.com/jobs/search/?keywords=Nuvama&location=India&f_TPR=r604800,,,,,
52,2 - Small/Mid firms,Edelweiss,Financial services,Credit/Research,https://www.linkedin.com/jobs/search/?keywords=Edelweiss&location=India&f_TPR=r604800,,,,,
53,2 - Small/Mid firms,JM Financial,IB / financial services,IB/Credit,https://www.linkedin.com/jobs/search/?keywords=JM%20Financial&location=India&f_TPR=r604800,,,,,
54,2 - Small/Mid firms,Ambit,IB / research,Equity Research/IB,https://www.linkedin.com/jobs/search/?keywords=Ambit&location=India&f_TPR=r604800,,,,,
55,2 - Small/Mid firms,Avendus,Investment bank,IB/Research,https://www.linkedin.com/jobs/search/?keywords=Avendus&location=India&f_TPR=r604800,,,,,
56,2 - Small/Mid firms,Equirus,Investment bank,IB/Research,https://www.linkedin.com/jobs/search/?keywords=Equirus&location=India&f_TPR=r604800,,,,,
57,2 - Small/Mid firms,Anand Rathi,Wealth / broking,Research/FP&A,https://www.linkedin.com/jobs/search/?keywords=Anand%20Rathi&location=India&f_TPR=r604800,,,,,
58,2 - Small/Mid firms,Antique Stock Broking,Research,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Antique%20Stock%20Broking&location=India&f_TPR=r604800,,,,,
59,2 - Small/Mid firms,Emkay Global,Research / broking,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Emkay%20Global&location=India&f_TPR=r604800,,,,,
60,2 - Small/Mid firms,Prabhudas Lilladher,Research / broking,Equity Research,https://www.linkedin.com/jobs/search/?keywords=Prabhudas%20Lilladher&location=India&f_TPR=r604800,,,,,
61,2 - Small/Mid firms,Systematix,Research / broking,Research,https://www.linkedin.com/jobs/search/?keywords=Systematix&location=India&f_TPR=r604800,,,,,
62,2 - Small/Mid firms,CARE Ratings,Credit rating agency,Credit,https://www.linkedin.com/jobs/search/?keywords=CARE%20Ratings&location=India&f_TPR=r604800,Strong fit - CA Inter helps,,,,
63,2 - Small/Mid firms,ICRA,Credit rating agency,Credit,https://www.linkedin.com/jobs/search/?keywords=ICRA&location=India&f_TPR=r604800,Strong fit,,,,
64,2 - Small/Mid firms,India Ratings Fitch,Credit rating agency,Credit,https://www.linkedin.com/jobs/search/?keywords=India%20Ratings%20Fitch&location=India&f_TPR=r604800,,,,,
65,2 - Small/Mid firms,Acuite Ratings,Credit rating agency,Credit,https://www.linkedin.com/jobs/search/?keywords=Acuite%20Ratings&location=India&f_TPR=r604800,,,,,
66,2 - Small/Mid firms,Grant Thornton Bharat,Advisory,FP&A/Credit,https://www.linkedin.com/jobs/search/?keywords=Grant%20Thornton%20Bharat&location=India&f_TPR=r604800,,,,,
67,3 - Large firms/banks/GCC,CRISIL,Ratings/research (S&P),Credit/Research,https://www.linkedin.com/jobs/search/?keywords=CRISIL&location=India&f_TPR=r604800,Strong fit - big analyst intake,,,,
68,3 - Large firms/banks/GCC,Moody's Analytics,Ratings/analytics,Credit/Risk,https://www.linkedin.com/jobs/search/?keywords=Moody%27s%20Analytics&location=India&f_TPR=r604800,,,,,
69,3 - Large firms/banks/GCC,S&P Global,Data / ratings,Research/Credit,https://www.linkedin.com/jobs/search/?keywords=S%26P%20Global&location=India&f_TPR=r604800,,,,,
70,3 - Large firms/banks/GCC,MSCI,Index / analytics,Quant/Research,https://www.linkedin.com/jobs/search/?keywords=MSCI&location=India&f_TPR=r604800,,,,,
71,3 - Large firms/banks/GCC,FactSet,Financial data,Research,https://www.linkedin.com/jobs/search/?keywords=FactSet&location=India&f_TPR=r604800,,,,,
72,3 - Large firms/banks/GCC,Nomura,IB / GCC,Research/Quant/Risk,https://www.linkedin.com/jobs/search/?keywords=Nomura&location=India&f_TPR=r604800,Powai Mumbai GCC,,,,
73,3 - Large firms/banks/GCC,Morgan Stanley,IB / GCC,Research/Quant/Risk,https://www.linkedin.com/jobs/search/?keywords=Morgan%20Stanley&location=India&f_TPR=r604800,,,,,
74,3 - Large firms/banks/GCC,Goldman Sachs,IB / GCC,Research/Quant/Risk,https://www.linkedin.com/jobs/search/?keywords=Goldman%20Sachs&location=India&f_TPR=r604800,Bengaluru/Hyderabad,,,,
75,3 - Large firms/banks/GCC,JPMorgan Chase,Bank / GCC,Risk/Research/FP&A,https://www.linkedin.com/jobs/search/?keywords=JPMorgan%20Chase&location=India&f_TPR=r604800,,,,,
76,3 - Large firms/banks/GCC,HSBC,Bank / GCC,Risk/Credit/FP&A,https://www.linkedin.com/jobs/search/?keywords=HSBC&location=India&f_TPR=r604800,,,,,
77,3 - Large firms/banks/GCC,Citi,Bank / GCC,Risk/Research,https://www.linkedin.com/jobs/search/?keywords=Citi&location=India&f_TPR=r604800,,,,,
78,3 - Large firms/banks/GCC,Barclays,Bank / GCC,Risk/Quant,https://www.linkedin.com/jobs/search/?keywords=Barclays&location=India&f_TPR=r604800,,,,,
79,3 - Large firms/banks/GCC,Deutsche Bank,Bank / GCC,Risk/Quant,https://www.linkedin.com/jobs/search/?keywords=Deutsche%20Bank&location=India&f_TPR=r604800,,,,,
80,3 - Large firms/banks/GCC,UBS,Bank / GCC,Risk/Research,https://www.linkedin.com/jobs/search/?keywords=UBS&location=India&f_TPR=r604800,,,,,
81,3 - Large firms/banks/GCC,Standard Chartered,Bank / GCC,Risk/Credit,https://www.linkedin.com/jobs/search/?keywords=Standard%20Chartered&location=India&f_TPR=r604800,,,,,
82,3 - Large firms/banks/GCC,Wells Fargo,Bank / GCC,Risk/FP&A,https://www.linkedin.com/jobs/search/?keywords=Wells%20Fargo&location=India&f_TPR=r604800,,,,,
83,3 - Large firms/banks/GCC,Bank of America,Bank / GCC (Continuum),Risk/Research,https://www.linkedin.com/jobs/search/?keywords=Bank%20of%20America&location=India&f_TPR=r604800,,,,,
84,3 - Large firms/banks/GCC,Deloitte,Advisory / consulting,FP&A/Risk/Credit,https://www.linkedin.com/jobs/search/?keywords=Deloitte&location=India&f_TPR=r604800,,,,,
85,3 - Large firms/banks/GCC,PwC,Advisory,FP&A/Risk,https://www.linkedin.com/jobs/search/?keywords=PwC&location=India&f_TPR=r604800,,,,,
86,3 - Large firms/banks/GCC,EY,Advisory,FP&A/Risk,https://www.linkedin.com/jobs/search/?keywords=EY&location=India&f_TPR=r604800,,,,,
87,3 - Large firms/banks/GCC,KPMG,Advisory,FP&A/Risk,https://www.linkedin.com/jobs/search/?keywords=KPMG&location=India&f_TPR=r604800,,,,,
88,3 - Large firms/banks/GCC,D. E. Shaw,Quant / prop,Quant,https://www.linkedin.com/jobs/search/?keywords=D.%20E.%20Shaw&location=India&f_TPR=r604800,YOUR ALMA MATER - ask ex-colleagues for referral,,,,
89,3 - Large firms/banks/GCC,WorldQuant,Quant,Quant,https://www.linkedin.com/jobs/search/?keywords=WorldQuant&location=India&f_TPR=r604800,,,,,
90,3 - Large firms/banks/GCC,Tower Research Capital,Quant / HFT,Quant,https://www.linkedin.com/jobs/search/?keywords=Tower%20Research%20Capital&location=India&f_TPR=r604800,,,,,
91,3 - Large firms/banks/GCC,Graviton Research Capital,Quant,Quant,https://www.linkedin.com/jobs/search/?keywords=Graviton%20Research%20Capital&location=India&f_TPR=r604800,Strong fit,,,,
92,3 - Large firms/banks/GCC,Quadeye,Quant,Quant,https://www.linkedin.com/jobs/search/?keywords=Quadeye&location=India&f_TPR=r604800,,,,,
93,3 - Large firms/banks/GCC,AlphaGrep,Quant,Quant,https://www.linkedin.com/jobs/search/?keywords=AlphaGrep&location=India&f_TPR=r604800,,,,,
94,3 - Large firms/banks/GCC,HDFC AMC,Asset management,Research/FP&A,https://www.linkedin.com/jobs/search/?keywords=HDFC%20AMC&location=India&f_TPR=r604800,,,,,
95,3 - Large firms/banks/GCC,ICICI Prudential AMC,Asset management,Research,https://www.linkedin.com/jobs/search/?keywords=ICICI%20Prudential%20AMC&location=India&f_TPR=r604800,,,,,
96,3 - Large firms/banks/GCC,Nippon India MF,Asset management,Research,https://www.linkedin.com/jobs/search/?keywords=Nippon%20India%20MF&location=India&f_TPR=r604800,,,,,
